Hour,Submarine 1,Submarine 2,Submarine 3,Submarine 4,Submarine 5,Submarine 6,Submarine 7,Submarine 8,Submarine 9,Submarine 10,Submarine 11,Submarine 12
1,50,52,65,56,68,54,66,57,54,58,57,68
2,41,49,70,56,75,64,60,56,51,68,66,68
3,41,54,72,61,74,59,70,58,51,74,74,66
4,39,47,71,65,83,55,62,56,42,78,73,70
5,46,39,71,62,80,58,53,56,46,82,82,63
6,39,32,73,71,79,50,61,55,45,76,77,57
7,47,32,82,70,71,45,60,52,47,77,83,61
8,50,29,74,79,75,40,60,56,41,79,90,71
9,47,39,79,79,85,49,65,53,50,79,88,77
10,49,40,75,79,82,53,62,49,50,76,87,72
11,53,38,66,74,76,53,70,39,46,73,79,75
12,58,42,74,83,70,57,61,39,47,72,76,71
13,66,33,70,90,68,48,61,37,41,72,72,67
14,74,37,72,96,68,44,56,46,37,62,64,71
15,66,42,72,104,75,45,46,45,35,71,56,70
16,71,32,64,96,65,40,47,35,25,65,52,72
17,72,27,65,86,58,34,37,31,33,58,47,71
18,76,36,69,86,53,33,36,37,28,51,57,69
19,69,30,68,94,56,30,29,30,28,59,62,69
20,63,29,74,100,57,30,19,31,28,55,62,77
21,62,34,76,109,54,37,27,31,24,58,72,75
22,56,40,86,109,48,28,35,28,15,62,72,81
23,59,32,84,119,53,22,28,36,21,54,72,85
24,55,31,87,111,52,23,21,30,21,61,71,86
Average,56.21,37.33,73.29,84.79,67.71,43.79,49.67,43.46,37.75,67.50,70.46,71.33
